Name,Quantity,Inventory Date
bmw,1,11/30/2021
Buick,34,05/28/2021
Cadillac,72,02/04/2021
Chevrolet,82,08/18/2021
Dodge,20,11/19/2021
Dodge,70,11/27/2020
Ford,24,11/01/2021
GMC,38,12/26/2020
Geo,33,04/27/2021
Isuzu,100,03/16/2021
Land Rover,98,09/12/2021
Lexus,45,04/26/2021
Mazda,22,01/04/2021
Mazda,45,04/17/2021
Mercedes-Benz,85,06/13/2021
Mercury,73,09/03/2021
Mitsubishi,69,03/06/2021
Porsche,96,03/19/2021
Saab,88,02/18/2021
Scion,17,04/24/2021
Subaru,70,01/15/2021
Subaru,81,09/08/2021
Suzuki,92,05/10/2021
Suzuki,37,01/15/2021
Volkswagen,97,10/07/2021
Volkswagen,38,11/05/2021
Volvo,12,04/08/2021
